x,y,z
10.400000000000002,2.5,0.0
10.400000000000002,2.75,0.0
10.400000000000002,3.0,0.0
10.400000000000002,3.25,0.0
10.400000000000002,3.5,0.0
10.400000000000002,3.75,0.0
10.400000000000002,4.0,0.0
10.400000000000002,4.25,0.0
10.400000000000002,4.5,0.0
10.400000000000002,4.75,0.0
10.400000000000002,5.0,0.0
11.200000000000003,0.0,0.0
11.200000000000003,0.25,0.0
11.200000000000003,0.5,0.0
11.200000000000003,0.75,0.0
11.200000000000003,1.0,0.0
11.200000000000003,1.25,0.0
11.200000000000003,1.5,0.0
11.200000000000003,1.75,0.0
11.200000000000003,2.0,0.0
11.200000000000003,2.25,0.0
11.200000000000003,2.5,0.0
11.200000000000003,2.75,0.0
11.200000000000003,3.0,0.0
11.200000000000003,3.25,0.0
11.200000000000003,3.5,0.0
11.200000000000003,3.75,0.0
11.200000000000003,4.0,0.0
11.200000000000003,4.25,0.0
11.200000000000003,4.5,0.0
11.200000000000003,4.75,0.0
11.200000000000003,5.0,0.0
12.0,0.0,0.0
12.0,0.25,0.0
12.0,0.5,0.0
12.0,0.75,0.0
12.0,1.0,0.0
12.0,1.25,0.0
12.0,1.5,0.0
12.0,1.75,0.0
12.0,2.0,0.0
12.0,2.25,0.0
12.0,2.5,0.0
12.0,2.75,0.0
12.0,3.0,0.0
12.0,3.25,0.0
12.0,3.5,0.0
12.0,3.75,0.0
12.0,4.0,0.0
12.0,4.25,0.0
12.0,4.5,0.0
12.0,4.75,0.0
12.0,5.0,0.0
12.800000000000004,0.0,0.0
12.800000000000004,0.25,0.0
12.800000000000004,0.5,0.0
12.800000000000004,0.75,0.0
12.800000000000004,1.0,0.0
12.800000000000004,1.25,0.0
12.800000000000004,1.5,0.0
12.800000000000004,1.75,0.0
12.800000000000004,2.0,0.0
12.800000000000004,2.25,0.0
12.800000000000004,2.5,0.0
12.800000000000004,2.75,0.0
12.800000000000004,3.0,0.0
12.800000000000004,3.25,0.0
12.800000000000004,3.5,0.0
12.800000000000004,3.75,0.0
12.800000000000004,4.0,0.0
12.800000000000004,4.25,0.0
12.800000000000004,4.5,0.0
12.800000000000004,4.75,0.0
12.800000000000004,5.0,0.0
13.600000000000001,0.0,0.0
13.600000000000001,0.25,0.0
13.600000000000001,0.5,0.0
13.600000000000001,0.75,0.0
13.600000000000001,1.0,0.0
13.600000000000001,1.25,0.0
13.600000000000001,1.5,0.0
13.600000000000001,1.75,0.0
13.600000000000001,2.0,0.0
13.600000000000001,2.25,0.0
13.600000000000001,2.5,0.0
13.600000000000001,2.75,0.0
13.600000000000001,3.0,0.0
13.600000000000001,3.25,0.0
13.600000000000001,3.5,0.0
13.600000000000001,3.75,0.0
13.600000000000001,4.0,0.0
13.600000000000001,4.25,0.0
13.600000000000001,4.5,0.0
13.600000000000001,4.75,0.0
13.600000000000001,5.0,0.0
14.399999999999999,0.0,0.0
14.399999999999999,0.25,0.0
14.399999999999999,0.5,0.0
14.399999999999999,0.75,0.0
14.399999999999999,1.0,0.0
14.399999999999999,1.25,0.0
14.399999999999999,1.5,0.0
